Date,Open,High,Low,Close,Volume,Adj Close
2015-03-04,6889.10,6919.20,6862.90,6919.20,000,6919.20
2015-03-03,6940.60,6963.60,6889.10,6889.10,784037600,6889.10
2015-03-02,6946.70,6974.30,6924.30,6940.60,778879400,6940.60
2015-02-27,6949.70,6967.20,6929.80,6946.70,881579100,6946.70
2015-02-26,6935.40,6950.00,6920.50,6949.70,782087000,6949.70
2015-02-25,6949.60,6955.40,6904.90,6935.40,697704800,6935.40
2015-02-24,6912.20,6958.90,6899.60,6949.60,831640000,6949.60
2015-02-23,6915.20,6943.60,6885.90,6912.20,680805600,6912.20
2015-02-20,6888.90,6920.50,6884.80,6915.20,764028800,6915.20
2015-02-19,6898.10,6907.30,6858.70,6888.90,000,6888.90
2015-02-18,6898.10,6921.30,6876.30,6898.10,000,6898.10
2015-02-17,6857.10,6898.10,6819.80,6898.10,000,6898.10
2015-02-16,6873.50,6878.70,6851.80,6857.10,415979100,6857.10
2015-02-13,6828.10,6887.60,6828.10,6873.50,000,6873.50
2015-02-12,6818.20,6854.60,6817.20,6828.10,000,6828.10
2015-02-11,6829.10,6838.30,6786.10,6818.20,623275800,6818.20
2015-02-10,6837.20,6843.90,6788.90,6829.10,773108400,6829.10
2015-02-09,6853.40,6853.40,6778.00,6837.20,620697200,6837.20
2015-02-06,6865.90,6886.20,6835.50,6853.40,000,6853.40
2015-02-05,6860.00,6870.10,6808.20,6865.90,731200400,6865.90
2015-02-04,6871.80,6883.50,6804.10,6860.00,817845800,6860.00
2015-02-03,6782.60,6886.30,6782.40,6871.80,000,6871.80
2015-02-02,6749.40,6795.50,6732.00,6782.60,757554400,6782.60
2015-01-30,6810.60,6844.00,6749.40,6749.40,799357300,6749.40
2015-01-29,6825.90,6825.90,6750.20,6810.60,704517100,6810.60
2015-01-28,6811.60,6863.00,6777.10,6825.90,779603800,6825.90
2015-01-27,6852.40,6865.00,6773.50,6811.60,000,6811.60
2015-01-26,6832.80,6855.90,6790.10,6852.40,611915000,6852.40
2015-01-23,6796.60,6841.70,6796.60,6832.80,839368300,6832.80
2015-01-22,6728.00,6808.20,6726.20,6796.60,926018400,6796.60
2015-01-21,6620.10,6728.00,6620.10,6728.00,847589600,6728.00
2015-01-20,6585.50,6640.40,6585.50,6620.10,000,6620.10
2015-01-19,6550.30,6598.90,6548.00,6585.50,537915700,6585.50
2015-01-16,6498.80,6553.20,6443.30,6550.30,000,6550.30
2015-01-15,6388.50,6498.80,6298.20,6498.80,000,6498.80
2015-01-14,6542.20,6542.20,6353.70,6388.50,971256900,6388.50
2015-01-13,6501.40,6558.80,6465.20,6542.20,000,6542.20
2015-01-12,6501.10,6542.40,6447.90,6501.40,000,6501.40
2015-01-09,6570.00,6570.20,6471.40,6501.10,000,6501.10
2015-01-08,6419.80,6580.80,6419.80,6570.00,000,6570.00
2015-01-07,6366.50,6459.70,6366.50,6419.80,000,6419.80
2015-01-06,6417.20,6452.70,6328.60,6366.50,000,6366.50
2015-01-05,6547.80,6576.70,6404.50,6417.20,000,6417.20
2015-01-02,6566.10,6607.90,6510.60,6547.80,000,6547.80
2014-12-31,6547.00,6578.20,6547.00,6566.10,000,6566.10
2014-12-30,6633.50,6633.50,6528.90,6547.00,000,6547.00
2014-12-29,6609.90,6652.00,6587.90,6633.50,000,6633.50
2014-12-24,6598.20,6618.10,6586.10,6609.90,000,6609.90
2014-12-23,6576.70,6620.50,6576.70,6598.20,000,6598.20
2014-12-22,6545.30,6621.00,6545.30,6576.70,000,6576.70
2014-12-19,6466.00,6566.90,6466.00,6545.30,000,6545.30
2014-12-18,6336.50,6466.00,6336.50,6466.00,967411900,6466.00
2014-12-17,6331.80,6359.70,6240.30,6336.50,745851900,6336.50
2014-12-16,6182.70,6331.80,6144.70,6331.80,1037451400,6331.80
2014-12-15,6300.60,6356.30,6182.70,6182.70,985776000,6182.70
